ProjectId,ProjectName_june,SectorName_june,StateName_june,LineMinistry_june,COMPANYNAME_june,AgencyId_june,AgencyName_june,OriginalCost_june,RevisedCost_june,RevisedCostReason_june,Expenditure_june,SanctionDate_june,CreationDate_june,StartDate_june,OriginalEndDate_june,RevisedDate_june,RevisedDateReason_june,DELAYED_TIME_june,COST_OVERRUN_PERC_june,COST_OVERRUN_june,COR_PERC_june,TOR_PERC_june,PhysicalProgress_june,OnboardingDelay_june,Remarks_june,ProjectName_july,SectorName_july,StateName_july,LineMinistry_july,COMPANYNAME_july,AgencyId_july,AgencyName_july,OriginalCost_july,RevisedCost_july,RevisedCostReason_july,Expenditure_july,SanctionDate_july,CreationDate_july,StartDate_july,OriginalEndDate_july,RevisedDate_july,RevisedDateReason_july,DELAYED_TIME_july,COST_OVERRUN_PERC_july,COST_OVERRUN_july,COR_PERC_july,TOR_PERC_july,PhysicalProgress_july,OnboardingDelay_july,Remarks_july,physical_progress,original_cost,revised_cost,expenditure,cost_overrun,cost_overrun_perc,cost_ratio,expenditure_rate,months_since_sanction,months_to_anticipated_completion,execution_velocity,monsoon_overlap,SectorName_june_freq,LineMinistry_june_freq,COMPANYNAME_june_freq,predictive_risk_index,observed_velocity,required_velocity,recoverability_score
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,640.0,,509.41,27/07/2018,,,14/09/2021,31/07/2026,,0.0,0,0,,,83,0,,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,480,640.0,,512.55,27/07/2018,,,14/09/2021,31/07/2026,,0,0,0,,,88,0,,83.0,480.0,640.0,509.41,0.0,0.0,1.3333333333333333,0.795953125,95.10512483574244,1.0183968462549278,0.8727184801381692,2.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,50.757424916847484,5.0,16.69290322580645,29.952848419262583
612789,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport.  Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,485,,,227.5,07/06/2023,,,28/09/2025,31/12/2026,,0.0,0,0,,,64,0,,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport.  Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,485,,,242.51,07/06/2023,,,28/09/2025,31/12/2026,,0,0,0,,,66,0,,64.0,485.0,485.0,227.5,0.0,0.0,1.0,0.4690721649484536,36.760840998685936,6.044678055190539,1.7409830205540664,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.546455323096307,2.0,5.955652173913044,33.581544751058544
701126,"Development of Dholera International Greenfield Airport , Gujarat",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1305,1551.0,,949.24,14/06/2022,,,30/06/2026,30/06/2026,,0.0,0,0,,,87,0,,"Development of Dholera International Greenfield Airport , Gujarat",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1305,1551.0,,966.36,14/06/2022,,,30/06/2026,30/09/2026,,0,0,0,,,88,0,,87.0,1305.0,1551.0,949.24,0.0,0.0,1.1885057471264369,0.6120180528691167,48.52168199737188,1.0,1.7930128639133378,0.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,51.432291998120114,1.0,13.0,7.6923076923076925
619054,Development of Keshod Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,363,,,102.3,12/01/2024,,,31/01/2027,,,0.0,0,0,,,42,0,,Development of Keshod Airport.,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,363,,,108.64,12/01/2024,,,31/01/2027,,,0,0,0,,,47,0,,42.0,363.0,363.0,102.3,0.0,0.0,1.0,0.2818181818181818,29.566360052562416,7.063074901445466,1.4205333333333334,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.772508157523251,5.0,8.21172093023256,60.88857673659884
701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,2870,,,677.21,04/07/2024,,,20/07/2027,20/07/2027,,0.0,0,0,,,31,0,,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,2870,,,746.93,04/07/2024,,,20/07/2027,20/07/2027,,0,0,0,,,33,0,,31.0,2870.0,2870.0,677.21,0.0,0.0,1.0,0.2359616724738676,23.850197109067015,12.64783180026281,1.299779614325069,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.514777356941066,2.0,5.4554805194805205,36.660382029747275
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,912,,,400.62,03/07/2024,,,11/07/2026,30/11/2026,,0.0,0,0,,,70,0,,Development of New Civil Enclave and associated works at Darbhanga Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,912,,,426.22,03/07/2024,,,11/07/2026,30/11/2026,,0,0,0,,,71,0,,70.0,912.0,912.0,400.62,0.0,0.0,1.0,0.4392763157894737,23.88304862023653,5.026281208935611,2.9309491059147184,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,5.801444001857216,1.0,5.968627450980392,16.754270696452036
611495,Development of New Civil Enclave at Bagdogra Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1549,1549.0,,507.8,29/08/2024,,,07/03/2027,06/03/2027,,0.0,0,0,,,40,0,,Development of New Civil Enclave at Bagdogra Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1549,1549.0,,548.3,29/08/2024,,,07/03/2027,06/03/2027,,0,0,0,,,28,0,,40.0,1549.0,1549.0,507.8,0.0,0.0,1.0,0.3278244028405423,22.010512483574242,8.180026281208935,1.8173134328358211,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.153295561736319,0.0,7.334939759036145,0.0
612183,Development of New Civil Enclave at Bihta,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1413,,,9.56,28/08/2024,,,31/03/2027,,,0.0,0,0,,,3,0,,Development of New Civil Enclave at Bihta,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1413,,,15.53,28/08/2024,,,31/03/2027,,,0,0,0,,,4,0,,3.0,1413.0,1413.0,9.56,0.0,0.0,1.0,0.006765746638358104,22.043363994743757,9.00131406044678,0.13609538002980626,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.413879451164066,1.0,10.776204379562044,9.279705216955444
618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1507,,,71.13,29/08/2025,,,19/10/2027,13/11/2027,,0.0,0,0,,,13,0,,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,1507,,,81.41,29/08/2025,,,19/10/2027,13/11/2027,,0,0,0,,,14,0,,13.0,1507.0,1507.0,71.13,0.0,0.0,1.0,0.047199734571997345,10.019710906701707,16.45860709592641,1.2974426229508198,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,4.174505016821262,1.0,5.285988023952097,18.91793919072001
701122,Development of New Integrated Civil Enclave at Agra Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,579,,,217.42,18/06/2024,,,04/07/2026,30/11/2026,,0.0,0,0,,,43,0,,Development of New Integrated Civil Enclave at Agra Airport,Aviation & Aviation Infrastructure,,Ministry of Civil Aviation,Airport Authority of India [AAI],0,,579,,,224.58,18/06/2024,,,04/07/2026,30/11/2026,,0,0,0,,,45,0,,43.0,579.0,579.0,217.42,0.0,0.0,1.0,0.3755094991364421,24.375821287779235,5.026281208935611,1.7640431266846364,3.0,0.014434180138568129,0.014434180138568129,0.013856812933025405,7.019138952216405,2.0,11.340392156862745,17.636074417317936
